timestamp,can_id,message_name,signal_name,raw_value,physical_value,state,unit
2025-08-27T13-59-15.925+05:30,0x21,HEPU_RX_MSG1,VCU_HEPU_direction,0,0.000,N/A,
2025-08-27T13-59-15.925+05:30,0x21,HEPU_RX_MSG1,VCU_HEPU_op_mode,0,0.000,N/A,
2025-08-27T13-59-15.925+05:30,0x21,HEPU_RX_MSG1,VCU_HEPU_enable,0,0.000,N/A,
2025-08-27T13-59-15.925+05:30,0x21,HEPU_RX_MSG1,VCU_speed_req,0,0.000,N/A,rpm
2025-08-27T13-59-15.925+05:30,0x21,HEPU_RX_MSG1,VCU_torque_req,0.0,0.000,N/A,Nm
2025-08-27T13-59-16.609+05:30,0x23,HEPU_RX_MSG2,VCU_phase_current_set,0.0,0.000,N/A,
2025-08-27T13-59-16.609+05:30,0x23,HEPU_RX_MSG2,VCU_bus_current_set,-400.0,-400.000,N/A,
2025-08-27T13-59-16.609+05:30,0x23,HEPU_RX_MSG2,VCU_regen_current_set,0,0.000,N/A,
2025-08-27T13-59-16.609+05:30,0x23,HEPU_RX_MSG2,VCU_rpm_set,0.0,0.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_M_ID,0,0.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_monitorState,INIT,N/A,INIT,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_mcState,INIT,N/A,INIT,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_faultState,NO_FAULT,N/A,NO_FAULT,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_BMScanLost,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_MCcanLost,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_RDcanLost,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_CCcanLost,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_OBCcanLost,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_throttleError,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_dcdcFault,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_auxLow,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_batLow,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_soc_estimation_err,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_chargeCurrent,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_chargerFail,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_isolation_err,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_chargerInputV,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_cellLow,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_contFb,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_batTemp,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_bmsComErr,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_contInit,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_motorOvertemp,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_mcOvertemp,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_overCurrent,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_overVoltage,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_underVoltage,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_HardwareFault,1,1.000,N/A,
2025-08-27T13-59-16.627+05:30,0x49,EVCU_TX_MSG,EVCU_commFault,1,1.000,N/A,
2025-08-27T13-59-16.636+05:30,0x111,Control_Command_2,DCDC_enable,0,0.000,N/A,
2025-08-27T13-59-16.636+05:30,0x111,Control_Command_2,quick_charge_contactor,0,N/A,0,
2025-08-27T13-59-16.636+05:30,0x111,Control_Command_2,slow_charge_contactor,0,N/A,0,
2025-08-27T13-59-16.636+05:30,0x111,Control_Command_2,HCM_adhesion_detection,UNACTIVATED,N/A,UNACTIVATED,
2025-08-27T13-59-16.636+05:30,0x111,Control_Command_2,HCM_shutsdown_hibernation,UNACTIVATED,N/A,UNACTIVATED,
2025-08-27T13-59-16.636+05:30,0x111,Control_Command_2,AC_contactor,0,N/A,0,
2025-08-27T13-59-16.636+05:30,0x111,Control_Command_2,PTC_contactor,0,N/A,0,
2025-08-27T13-59-16.636+05:30,0x111,Control_Command_2,main_positive_contactor,0,N/A,0,
2025-08-27T13-59-16.649+05:30,0x131,Control_Command_4,OBC_instruct,0,N/A,0,
2025-08-27T13-59-16.649+05:30,0x131,Control_Command_4,charging_voltage,0.0,0.000,N/A,
2025-08-27T13-59-16.649+05:30,0x131,Control_Command_4,charging_current,0.0,0.000,N/A,A
2025-08-27T13-59-16.664+05:30,0x314,EPS_RX_MSG,zeroPointSet,0,0.000,N/A,
2025-08-27T13-59-16.664+05:30,0x314,EPS_RX_MSG,mode,Manual_Mode,N/A,Manual_Mode,
2025-08-27T13-59-16.664+05:30,0x314,EPS_RX_MSG,setAngle,360,360.000,N/A,deg
2025-08-27T13-59-16.664+05:30,0x314,EPS_RX_MSG,setAngularVelocity,450,450.000,N/A,deg/s
2025-08-27T13-59-16.664+05:30,0x314,EPS_RX_MSG,carSpeed,0.003125,0.003,N/A,km/h
2025-08-27T13-59-16.673+05:30,0x18de1e00,Unknown_18DE1E00,N/A,N/A,N/A,N/A,
2025-08-27T13-59-16.688+05:30,0x63b,Control_Command_5,CP_duty_cycle,0,0.000,N/A,
2025-08-27T13-59-16.688+05:30,0x63b,Control_Command_5,CP_frequency,0,0.000,N/A,
2025-08-27T13-59-16.688+05:30,0x63b,Control_Command_5,CC_resistance,0,0.000,N/A,
2025-08-27T13-59-16.701+05:30,0x18de1e00,Unknown_18DE1E00,N/A,N/A,N/A,N/A,
2025-08-27T13-59-16.720+05:30,0x21,HEPU_RX_MSG1,VCU_HEPU_direction,0,0.000,N/A,
2025-08-27T13-59-16.720+05:30,0x21,HEPU_RX_MSG1,VCU_HEPU_op_mode,0,0.000,N/A,
2025-08-27T13-59-16.720+05:30,0x21,HEPU_RX_MSG1,VCU_HEPU_enable,0,0.000,N/A,
2025-08-27T13-59-16.720+05:30,0x21,HEPU_RX_MSG1,VCU_speed_req,0,0.000,N/A,rpm
2025-08-27T13-59-16.720+05:30,0x21,HEPU_RX_MSG1,VCU_torque_req,0.0,0.000,N/A,Nm
2025-08-27T13-59-16.733+05:30,0x23,HEPU_RX_MSG2,VCU_phase_current_set,0.0,0.000,N/A,
2025-08-27T13-59-16.733+05:30,0x23,HEPU_RX_MSG2,VCU_bus_current_set,-400.0,-400.000,N/A,
2025-08-27T13-59-16.733+05:30,0x23,HEPU_RX_MSG2,VCU_regen_current_set,0,0.000,N/A,
2025-08-27T13-59-16.733+05:30,0x23,HEPU_RX_MSG2,VCU_rpm_set,0.0,0.000,N/A,
2025-08-27T13-59-16.747+05:30,0x49,EVCU_TX_MSG,N/A,N/A,N/A,N/A,
2025-08-27T13-59-16.756+05:30,0x26,HEPU_RX_MSG3,VCU_battery_current,0.0,0.000,N/A,
2025-08-27T13-59-16.756+05:30,0x26,HEPU_RX_MSG3,VCU_battery_voltage,0.0,0.000,N/A,
2025-08-27T13-59-16.765+05:30,0x18de1e00,Unknown_18DE1E00,N/A,N/A,N/A,N/A,
2025-08-27T13-59-16.777+05:30,0x21,HEPU_RX_MSG1,VCU_HEPU_direction,0,0.000,N/A,
2025-08-27T13-59-16.777+05:30,0x21,HEPU_RX_MSG1,VCU_HEPU_op_mode,0,0.000,N/A,
2025-08-27T13-59-16.777+05:30,0x21,HEPU_RX_MSG1,VCU_HEPU_enable,0,0.000,N/A,
2025-08-27T13-59-16.777+05:30,0x21,HEPU_RX_MSG1,VCU_speed_req,0,0.000,N/A,rpm
2025-08-27T13-59-16.777+05:30,0x21,HEPU_RX_MSG1,VCU_torque_req,0.0,0.000,N/A,Nm
2025-08-27T13-59-16.786+05:30,0x22f,BrakeStatus,PedalPosition,0.0,0.000,N/A,mm
2025-08-27T13-59-16.786+05:30,0x22f,BrakeStatus,BrakeFluidPressure,0.0,0.000,N/A,bar
2025-08-27T13-59-16.786+05:30,0x22f,BrakeStatus,BrakeApplied,No,N/A,No,
2025-08-27T13-59-16.786+05:30,0x22f,BrakeStatus,DriverBrakeApplied,No,N/A,No,
2025-08-27T13-59-16.786+05:30,0x22f,BrakeStatus,BrakeServoStatus,Brake Error,N/A,Brake Error,
2025-08-27T13-59-16.786+05:30,0x22f,BrakeStatus,BrakeFluidPresent,No,N/A,No,
2025-08-27T13-59-16.786+05:30,0x22f,BrakeStatus,HillHoldActive,No,N/A,No,
2025-08-27T13-59-16.786+05:30,0x22f,BrakeStatus,PressureSensorFault,No,N/A,No,
2025-08-27T13-59-16.786+05:30,0x22f,BrakeStatus,PWMinValid,No,N/A,No,
2025-08-27T13-59-16.786+05:30,0x22f,BrakeStatus,AnalogInValid,No,N/A,No,
